noise figure X,noise figure Y
77000000000,16.21736876997295
77100000000,16.23739217958837
77200000000,16.25745991249903
77300000000,16.27757159864322
77400000000,16.29772686715071
77500000000,16.31792534687643
77600000000,16.33816666595002
77700000000,16.35845045206216
77800000000,16.37877633245033
77900000000,16.39914393389263
78000000000,16.41955283792182
78100000000,16.44000280667635
78200000000,16.46049332925284
78300000000,16.48102407725197
78400000000,16.50159467605373
78500000000,16.5222047500148
78600000000,16.54285392580358
78700000000,16.56354182782284
78800000000,16.58426808109225
78900000000,16.60503231062301
79000000000,16.62583414145433
79100000000,16.64667319868925
79200000000,16.66754910752714
79300000000,16.68846149328391
79400000000,16.70940998131332
79500000000,16.73039414640693
79600000000,16.75141377008617
79700000000,16.77246832105403
79800000000,16.79355747929513
79900000000,16.81468087156755
80000000000,16.8358381251424
80100000000,16.85702886772709
80200000000,16.87825272748217
80300000000,16.89950933308574
80400000000,16.92079831362638
80500000000,16.94211929883413
80600000000,16.96347191897967
80700000000,16.98485580493638
80800000000,17.0062705882059
80900000000,17.02771590090232
81000000000,17.0491913150899
81100000000,17.07069664769092
81200000000,17.09223134889974
81300000000,17.11379511580822
81400000000,17.13538758388555
81500000000,17.15700839002723
81600000000,17.17865717183464
81700000000,17.20033356779559
81800000000,17.22203721730819
81900000000,17.24376776070545
82000000000,17.26552483927912
