S22  X,S22  YRe,S22  YReImag
76999999999.99998,-0.007899804541539712,0.01612978450185003
77099999999.99998,-0.008000512692834527,0.01526394700506561
77199999999.99998,-0.008098530962802997,0.01440333867009417
77299999999.99998,-0.0081874237578895,0.01354821383382753
77399999999.99998,-0.008252472991711612,0.0126873168045575
77499999999.99998,-0.008311843819889475,0.01176241161432402
77599999999.99998,-0.008445064086303078,0.01083627642969572
77699999999.99998,-0.008600393964067754,0.009959751877705427
77799999999.99998,-0.008738205592448978,0.009103436463930194
77899999999.99998,-0.008866338278766484,0.008250554432288145
77999999999.99998,-0.008990601391530295,0.007398364515816586
78099999999.99998,-0.009113590826948181,0.006546763390400243
78199999999.99998,-0.009236492609500546,0.005696011766776861
78299999999.99998,-0.009359892073821374,0.004846354154930716
78399999999.99998,-0.009484099885396224,0.003997973480563789
78499999999.99998,-0.009609290843239027,0.003151001377577749
78599999999.99998,-0.00973556759645855,0.002305533310428922
78699999999.99998,-0.009862992042449226,0.001461640272693521
78799999999.99998,-0.009991601810897421,0.0006193765363001528
78899999999.99998,-0.01012141989152149,-0.0002212188744698232
78999999999.99998,-0.01041800077222399,-0.001035571427170588
79099999999.99998,-0.01038470396522906,-0.001897139358450024
79199999999.99998,-0.01051818339619515,-0.002732466677507559
79299999999.99998,-0.01065287316395025,-0.003565945541795946
79399999999.99998,-0.01078875842097482,-0.004397528918828602
79499999999.99998,-0.01092581342549748,-0.005227149127798526
79599999999.99998,-0.01106399638666999,-0.006054713250480299
79699999999.99998,-0.01120323795152167,-0.006880089476484893
79799999999.99998,-0.01134341732873634,-0.007703083744308597
79899999999.99998,-0.01148431016478946,-0.008523400189368457
79999999999.99998,-0.01162546578128343,-0.009340575631517868
80099999999.99998,-0.01176589063016964,-0.01015388939305023
80199999999.99998,-0.01190315477524828,-0.01096238416577999
80299999999.99998,-0.0120308237433856,-0.01176621689246738
80399999999.99998,-0.0121349366389425,-0.01257755915529453
80499999999.99998,-0.01223686443047856,-0.01345336624106609
80599999999.99998,-0.01241339053004531,-0.01432585854969463
80699999999.99998,-0.01260818251727813,-0.01514767586826973
80799999999.99998,-0.01278407415086402,-0.01595067462615686
80899999999.99998,-0.01294996356898459,-0.01675109070598124
80999999999.99998,-0.01311182459659654,-0.01755128804994161
81099999999.99998,-0.01327225596779558,-0.01835120500314299
81199999999.99998,-0.01343242648796517,-0.01915050755679606
81299999999.99998,-0.01359290675652813,-0.01994891696952135
81399999999.99998,-0.01375399738959315,-0.0207462342781852
81499999999.99998,-0.01391586689832103,-0.02154232127894864
81599999999.99998,-0.01407861435307267,-0.02233708151962647
81699999999.99998,-0.01424230005163707,-0.02313044671731007
81799999999.99998,-0.01440696146640508,-0.02392236761916156
81899999999.99998,-0.01457262206429288,-0.02471280718678693
81999999999.99998,-0.01470650472241319,-0.02550117988780447
